AH2L9G3DQHHAJ,0000000116,4.0,1019865600
A2IIIDRK3PRRZY,0000000116,1.0,1395619200
A1TADCM7YWPQ8M,0000000868,4.0,1031702400
AWGH7V0BDOJKB,0000013714,4.0,1383177600
A3UTQPQPM4TQO0,0000013714,5.0,1374883200
A8ZS0I5L5V31B,0000013714,5.0,1393632000
ACNGUPJ3A3TM9,0000013714,4.0,1386028800
A3BED5QFJWK88M,0000013714,4.0,1350345600
A2SUAM1J3GNN3B,0000013714,5.0,1252800000
APOZ15IEYQRRR,0000013714,5.0,1362787200
AYEDW3BFK53XK,0000013714,5.0,1325462400
A1KLCGLCXYP1U1,0000013714,3.0,1376092800
A37W6POFWIVG13,0000013714,5.0,1316131200
A2EIPZNHAEXZHJ,0000013714,4.0,1325030400
A1VAFVJFT58YI3,0000013714,5.0,1384300800
A9KTKY6BUR8U6,0000013714,1.0,1357516800
A2742OG8PK8KU6,0000013714,5.0,1358380800
A38AAPXSJN4C5G,0000015393,4.0,1239494400
A14A5Q8VJK5NLR,0000029831,4.0,1393286400
A3W2PX96K1BA3M,0000029831,5.0,1393200000
A2GKR2Q7MD8DG4,0000029831,5.0,1393286400
A1MC4E00RO5E9T,0000029831,5.0,1393200000
A23PISU0ZLW71C,0000029831,5.0,1393200000
A1KP12IVP6LAGL,0000038504,5.0,1232755200
AG7R3MMF8QLDT,0000038504,4.0,1215820800
ACZSAC9BNB1YA,0000041696,3.0,1254182400
A2OLC4Z84N4P1E,0000041696,5.0,1151452800
A1UP8HIPMV08LP,0000041696,5.0,1358467200
A224LQF2AFU0H8,0000041696,4.0,1342742400
A1QHY69FQH9F5R,0000095699,3.0,1254700800
A339QIWV4489UG,0000174076,5.0,1358985600
A2SSZYR6P60UWF,0000202010,5.0,1367625600
A2WE6C7MXY3W8E,0000230022,5.0,1296259200
A17E59HH7IE1GE,0000230022,5.0,1181260800
ATK5NG3C5X2II,0000230022,5.0,1367971200
A3OOEN7PVHCKLJ,0000230022,5.0,1358812800
AYQGXWZP7S2G,0000230022,5.0,1296259200
A38AAPXSJN4C5G,0000230022,5.0,1293408000
A120FP8P2BV153,0000230022,5.0,1335312000
A2XFM8PN6G0B02,0000230022,5.0,1252540800
AFQUVVVDRNXEJ,0000230022,5.0,1332892800
ATYD7UJKRFEFU,0000230022,5.0,1283212800
A913X3CZ55YAA,0000401048,5.0,1132963200
A35OP02LIXZ84E,0000477141,1.0,1399939200
A2LI5026JCXQBA,000047715X,4.0,1398729600
A2CAVTNQA2Y3IJ,000047715X,5.0,1384560000
A2685NTFXLJJ1T,000047715X,5.0,1377475200
A17TBLPM7H401J,000047715X,4.0,1374364800
A3NMH1KTLG7CWX,000047715X,5.0,1398816000
AHNMXYVRDN1R9,000047715X,5.0,1394323200
A3CWYYP3IITCDP,0000619574,3.0,1396137600
A22RY8N8CNDF3A,000077135X,5.0,1365033600
A3S1YQA5N7DWGD,0000913154,5.0,1389398400
A916XU83L54V6,0000913154,5.0,1357689600
A3IKTM9D8RVWKU,0000913154,5.0,1026259200
AP25VUIFDC582,0000913154,5.0,1219449600
A22B03O2LPMJVU,0000913154,5.0,876182400
A2SLVVXPRB60JC,0000913154,5.0,974592000
A18F3K8ZJR2VD0,0000913154,5.0,1266969600
A28X5I7TL8BAOH,0000913154,5.0,1319328000
A1CP960DFEHZ5H,000100039X,5.0,1400198400
A10000012B7CGYKOMPQ4L,000100039X,5.0,1355616000
A2S166WSCFIFP5,000100039X,5.0,1071100800
A1BM81XB4QHOA3,000100039X,5.0,1390003200
A2MKF9WWPC181T,000100039X,5.0,1345939200
A1MOSTXNIO5MPJ,000100039X,5.0,1317081600
A2XQ5LZHTD4AFT,000100039X,5.0,1033948800
A1K0SULL2SYD4S,000100039X,4.0,1267142400
A3PRJTA493R8ZW,000100039X,5.0,1390176000
A3V1MKC2BVWY48,000100039X,5.0,1390780800
A12387207U8U24,000100039X,5.0,1206662400
A1SGX7ZTFNRY59,000100039X,5.0,1298764800
AL91K8JCKOXDT,000100039X,5.0,1201564800
A2E2F4MLVYDGEQ,000100039X,1.0,1393286400
A29TRDMK51GKZR,000100039X,5.0,1383436800
A3FI0744PG1WYG,000100039X,5.0,1390953600
A1ESQ3ZLSD5WJQ,000100039X,2.0,1314144000
A873MY9QLQLJR,000100039X,5.0,1213747200
A2LBBQHYLEHM7P,000100039X,5.0,1379808000
A1340OFLZBW5NG,000100039X,5.0,1231977600
A3W2IVR69VGG6U,000100039X,4.0,1372636800
A2KU9IU07LOJS1,000100039X,5.0,1384905600
A2WVHIRDMLM82E,000100039X,5.0,1394928000
A2I35JB67U20C0,000100039X,5.0,983318400
A27X0K0PTU3W7R,000100039X,5.0,1301616000
A19N3FCQCLJYUA,000100039X,5.0,1358899200
A3079HWOKNBQR8,000100039X,5.0,1236902400
A1G67VMMUNDWRH,000100039X,4.0,1246665600
A3FFNE1DR5SI1W,000100039X,5.0,1340755200
AK0FI0VIKMXH9,000100039X,5.0,1376092800
A1JO576QRW9E0G,000100039X,5.0,1393545600
